file_name,noun.Tops,noun.act,noun.animal,noun.artifact,noun.attribute,noun.body,noun.cognition,noun.communication,noun.event,noun.feeling,noun.food,noun.group,noun.location,noun.motive,noun.object,noun.person,noun.phenomenon,noun.plant,noun.possession,noun.process,noun.quantity,noun.relation,noun.shape,noun.state,noun.substance,noun.time,verb.body,verb.change,verb.cognition,verb.communication,verb.competition,verb.consumption,verb.contact,verb.creation,verb.emotion,verb.motion,verb.perception,verb.possession,verb.social,verb.stative,verb.weather
Becoming Steve Jobs_ The Evolution of a Reckless Upstart Into a Visionary Leader - Brent Schlender & Rick Tetzeli.txt,65,2868,53,4245,1227,265,2079,3554,580,325,71,4285,1195,47,136,8349,104,59,597,88,484,223,34,1123,230,2025,149,2121,2061,3292,135,326,642,1142,822,1031,852,1553,2433,4966,4
"Steve Jobs - Isaacson, Walter.txt",77,3217,83,6220,1498,425,2409,4956,661,567,346,4647,1908,42,167,13062,121,78,703,50,403,227,43,1280,475,2661,353,2935,2865,6768,264,599,1142,1760,1433,2076,1218,2356,3560,7229,6
Steve Jobs - Karen Blumenthal.txt,14,868,26,1864,270,148,570,1163,171,87,86,1263,377,6,41,3151,29,31,316,15,164,60,19,340,134,758,89,802,565,1286,61,155,303,435,297,464,255,712,809,1488,0
